"centroid_id","five_spp_cpue_2020_std","five_spp_cpue_2020_std_sd","five_spp_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,0.0271724608571428,0.776544390532444,"M",0.743951073142857,0.58990439310807,"M",-0.974085012952381,0.258437246680086,"L",0.476938667,0.618358220617272,"H",4.05097160480952,1.54110254164296,"H",-0.203140090095238,0.193714468862809,"M",-0.576965226333333,0.148692103916069,"L",0.0774124193333334,0.59301468662087,"M",0,0,"M",0.142857142857143,0.358568582800318,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
2,2.93862297716667,0.771105791487552,"H",0.5862489061,0.687399017299091,"M",-0.6984702703,0.410772014039554,"L",-0.0825942128,0.381042525679234,"M",0.0285184572,0.462755661150438,"M",-0.229366090233333,0.277632976124343,"M",-0.439561423666667,0.278334272119665,"L",0.0610023509666666,0.627722996241994,"M",0.0666666666666667,0.253708131702462,"H",0.0666666666666667,0.253708131702462,"M",0.133333333333333,0.34574590364176,"H",0,0,"M",0.2,0.406838102172486,"H","medium attention"
3,0.049527293902439,0.389915356215224,"M",-0.311118104853658,0.371956142056167,"L",0.599354705341464,0.564487796308555,"M",-0.136266963829268,0.0984352224007368,"M",-0.046218782804878,0.653802565467482,"M",-0.13665845695122,0.425104670582452,"M",-0.336408354804878,0.331232165172595,"L",-0.489377725609756,0.283030846050176,"L",0.146341463414634,0.357839042710273,"H",0.170731707317073,0.38094875143451,"M",0.902439024390244,0.300406229028335,"H",0.024390243902439,0.156173761888606,"H",0,0,"M","medium attention"
4,5.99476721543478,1.93638898159747,"H",0.541465267347826,0.853534789122389,"M",-0.396044003086957,0.931454756651065,"L",-0.109970771434783,0.142166154141251,"M",-0.0492154851739131,0.67580054459424,"M",0.105461284695652,1.20526586022579,"H",0.0372489345217391,0.780561398083812,"M",0.247162345478261,0.445758073803989,"M",0.0434782608695652,0.208514414057075,"H",0.0869565217391304,0.28810406552003,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
5,-0.0590369348941176,0.37731278199796,"M",-0.470890651611765,0.332302148649523,"L",-0.0517115616352941,0.430353665854556,"M",-0.120637149011765,0.213669067854352,"M",-0.360583270447059,0.252698225892167,"L",-0.264022742329412,0.287756880942197,"M",-0.745284153988235,0.103706804896621,"L",-0.730080984811765,0.148393277403477,"L",0.0235294117647059,0.152477210493529,"H",1,0,"M",0.0235294117647059,0.152477210493529,"H",0,0,"M",0.0941176470588235,0.293725228409004,"H","medium attention"
6,-0.328816807636364,0.0985071340803264,"L",-0.996909419181818,0.192017935438795,"L",1.19575534531818,0.17311756689975,"H",-0.337312538772727,0.106317223186839,"L",-0.341482622363636,0.467635427681207,"M",-0.294287223954545,0.134410890674408,"M",1.56077057777273,0.432879293372887,"H",-0.479048558636364,0.196068626915436,"L",0,0,"M",0.0454545454545455,0.21320071635561,"M",1,0,"H",0,0,"M",0.0454545454545455,0.21320071635561,"H","medium attention"
7,-0.338261113125,0.0325517729514476,"L",-1.39860475375,0.0210577982513724,"L",1.147324367,0.0745012454555843,"H",9.1345514971875,0.432343383042603,"H",-0.521591503,0,"L",-0.3928664381875,0.01290692325,"L",-1.7567951753125,0.128106644458884,"L",-1.0189444135,0.0302437149238301,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","low attention"
8,-0.302120151894737,0.252104096238501,"L",-0.930975336894737,0.332001891502868,"L",1.31096495026316,0.166165606075442,"H",-0.0394057442368421,0.197098845260137,"H",-0.401497193447368,0.19021002438402,"L",-0.185526506789474,0.370330550980847,"M",0.0883674428684211,0.38224385889464,"M",-0.646830793605263,0.122619256708712,"L",0,0,"M",0.0789473684210526,0.273276312733094,"M",0,0,"M",0,0,"M",1,0,"H","medium attention"
9,-0.341629085133333,0.174723339553247,"L",-0.9100254046,0.260485106763553,"L",1.03536817466667,0.176239595788873,"H",-0.159026018233333,0.319415963429235,"M",-0.2267137801,0.530917736911887,"M",-0.189962012933333,0.394337536866216,"M",1.62618392713333,0.405043245094382,"H",-0.438157782066667,0.14510885134089,"L",0,0,"M",0.0666666666666667,0.253708131702462,"M",0,0,"M",0,0,"M",0.933333333333333,0.253708131702462,"H","medium attention"
10,-0.544862534,0.112506326787741,"L",2.22695483935955,0.523760233296363,"H",-1.08532648367416,0.232692178560842,"L",-0.34327735658427,0.116699845619191,"L",-0.239385483247191,0.433441181957901,"M",-0.236978871764045,0.246785357348434,"M",-0.30377059347191,0.0763521248647793,"L",2.80393175531461,0.747891003738272,"H",0.314606741573034,0.466990013957315,"H",0.0786516853932584,0.270719542109693,"M",0.0337078651685393,0.181498697857036,"H",0,0,"M",0,0,"M","medium attention"
