"centroid_id","cod_cpue_2020_std","cod_cpue_2020_std_sd","cod_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_sd","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_sd","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_sd","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_sd","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_sd","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_sd","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_sd","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_sd","dumping_site_2020_label","military_area_2020","military_area_2020_sd","military_area_2020_label","wind_farm_2020","wind_farm_2020_sd","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_sd","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_sd","hard_bottom_seabed_2020_label","attention_level"
1,0.0915819061395348,0.642474546964019,"M",0.938000008302326,0.597563674104893,"H",-0.790518014906977,0.483341213858272,"L",0.202171131674419,0.534958087699694,"H",3.17065231293023,1.40369230193361,"H",-0.157677048418605,0.245211644010968,"M",-0.438102267418605,0.21389025019643,"L",0.454021998930232,0.699624137883182,"M",0.13953488372093,0.350604603563426,"H",0.13953488372093,0.350604603563426,"M",0,0,"M",0,0,"M",0,0,"M","medium attention"
2,0.288875222780303,0.633146656418158,"H",1.18503713793939,0.35311692055808,"H",-0.266518585492424,0.359823186980017,"L",-0.250034099939394,0.104985555785795,"L",0.27403253105303,0.590678296781589,"M",-0.155675841257576,0.410385824817837,"M",0.0529531982121212,0.21257242328069,"M",1.06253864600758,0.452859151574854,"H",0.772727272727273,0.420666666300073,"H",0.5,0.501904768802374,"M",0.0833333333333333,0.277438299767925,"H",0,0,"M",0.00757575757575758,0.0870388279778489,"H","high attention"
3,1.20631480372222,0.986252623849183,"H",0.116018260092593,0.556842176978984,"M",-0.409088250962963,0.434402777390918,"L",-0.123194285111111,0.203255120210927,"M",0.526690085814815,0.829534884814159,"H",-0.20397966262963,0.347284084585304,"M",-0.5355409085,0.239678382139794,"L",-0.253400243259259,0.513578294965515,"M",0.0925925925925926,0.292582419835719,"H",0.12962962962963,0.339049520304525,"M",0.388888888888889,0.492075568159886,"H",0,0,"M",0.240740740740741,0.431547683593059,"H","medium attention"
4,5.35728235641177,2.21475804439116,"H",0.632946679147059,0.786814736617024,"M",-0.549040458117647,0.829778504191155,"L",-0.129697039705882,0.132508573302335,"M",-0.0839306841176471,0.582265308435474,"M",-0.0267943867058823,1.00388697328768,"H",-0.0967521512647059,0.686801016127043,"M",0.265752709941177,0.499717497872738,"M",0.0588235294117647,0.238832573610613,"H",0.0882352941176471,0.287902241281237,"M",0,0,"M",0,0,"M",0.0882352941176471,0.287902241281237,"H","medium attention"
5,-0.20409977894375,0.242264769367885,"M",0.0126377519625,0.389861989381256,"M",-0.843985549150001,0.461252299381074,"L",-0.26075138184375,0.15164756049536,"L",-0.3483416114,0.279412121210434,"L",-0.218841253725,0.400486785568835,"M",-0.69980717826875,0.180541837926147,"L",-0.45126325454375,0.412294544992094,"L",0.16875,0.375706880928948,"H",0.48125,0.501217072194393,"M",0.30625,0.46238206043414,"H",0,0,"M",0.19375,0.39647622403672,"H","medium attention"
6,-0.190729758355263,0.292023643481987,"M",-0.430083734078947,0.432270676482499,"L",1.01184760106579,0.182142457572706,"H",-0.12620416906579,0.103336546502539,"M",-0.113238455842105,0.410340418092132,"M",0.0652094576052632,0.622245600387002,"H",0.392402726092105,0.369840560840466,"H",-0.240118736855263,0.214488867422691,"M",0.0263157894736842,0.161136315834457,"H",0.868421052631579,0.34027852368936,"M",0.171052631578947,0.37905700168486,"H",0,0,"M",0.105263157894737,0.308931378288493,"H","medium attention"
7,-0.3240268175,0.0160662147783825,"L",-1.39860475375,0.0210577982513724,"L",1.147324367,0.0745012454555843,"H",9.1345514971875,0.432343383042603,"H",-0.521591503,0,"L",-0.3928664381875,0.01290692325,"L",-1.7567951753125,0.128106644458884,"L",-1.0189444135,0.0302437149238301,"L",0,0,"M",0,0,"M",0,0,"M",0,0,"M",0,0,"M","low attention"
8,-0.16487808021875,0.480618813648629,"M",-0.8616989748125,0.339815653642689,"L",1.15636593164063,0.305880024313383,"H",-0.06241442071875,0.161096593927024,"H",-0.36388405965625,0.272129210030831,"L",-0.19557320284375,0.3707700508193,"M",-0.270146666921875,0.407977323576316,"M",-0.710899131421875,0.136995046113168,"L",0.09375,0.293784825696502,"H",0.03125,0.17536809360305,"M",0.21875,0.416666666666667,"H",0.0625,0.243975018237133,"H",0.71875,0.453163483587483,"H","high attention"
9,-0.442332458754386,0.0104428251133837,"L",-0.953060010087719,0.234111741564747,"L",1.11265189785965,0.187521813048791,"H",-0.228627079912281,0.257499050926672,"M",-0.288024308245614,0.486065897947909,"M",-0.24781673022807,0.302931312315419,"M",1.54744753998246,0.438807847668559,"H",-0.462381722403509,0.164578857839852,"L",0.0175438596491228,0.132453235706504,"H",0.087719298245614,0.285400830561533,"M",0.385964912280702,0.491149743128752,"H",0,0,"M",0.56140350877193,0.500626174321759,"H","medium attention"
10,-0.394012265272727,0.081104962366127,"L",2.17096815247475,0.539510526428668,"H",-1.09582905843434,0.254482516140361,"L",-0.340200773818182,0.115161425081067,"L",-0.260426649777778,0.411897794480032,"M",-0.229936663787879,0.288490352804261,"M",-0.311426990555556,0.0854678394654909,"L",2.68312999482828,0.795727186769682,"H",0.363636363636364,0.483493778415228,"H",0.0707070707070707,0.257639411538814,"M",0.0303030303030303,0.172292196901579,"H",0,0,"M",0,0,"M","medium attention"
